ID,Title,Category,Muscle_Group,Muscles,Equipment,Difficulty,GIF_URL,use_time,Description
1,Bench Reverse Crunch Circle,Strength,Core,"Abs, Obliques, Quadriceps",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/43331301-Bench-Reverse-Crunch-Circle_Waist_720.gif,False,Lie on a bench with hands gripping the edges. Lift legs
2,Crunch Hold,Strength,Core,"Abs, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/43321301-Crunch-Hold_Waist_720.gif,False,Lie on your back with knees bent and feet flat. Lift shoulders off the ground
3,Crunch Single Leg Lift,Strength,Core,"Abs, Obliques, Quadriceps",,2/3,https://fitcron.com/wp-content/uploads/2024/05/43311301-Crunch-Single-Leg-Lift_Waist_720.gif,False,Lie on your back with one leg extended and the other bent. Perform a crunch while lifting the extended leg toward the ceiling. Alternate legs
4,Reverse Crunch Kick,Strength,Core,"Abs, Lower Back, Obliques, Quadriceps",,3/3,https://fitcron.com/wp-content/uploads/2024/05/43301301-Reverse-Crunch-Kick_Waist_720.gif,False,Lie on your back with legs extended and hands under hips. Lift legs slightly
5,Lying Leg Hip Side Raise On Floor,Strength,Core,"Abs, Adductor, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/41561301-Lying-Leg-Hip-Side-Raise-on-Floor_Waist_720.gif,False,Lie on your side with legs straight. Lift the top leg upward and slightly forward
6,Leg Raise Dragon Flag,Strength,Core,"Abs, Glutes, Lower Back, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/40581301-Leg-Raise-Dragon-Flag_Waist_720.gif,False,Lie on a bench
7,Seated Flutter Kick,Strength,Core,"Abs, Lower Back, Obliques, Quadriceps",Flat Bench,2/3,https://fitcron.com/wp-content/uploads/2024/05/39621301-Seated-Flutter-Kick_Waist_720.gif,False,Sit on the floor with legs extended and hands supporting behind you. Lift legs slightly and alternate kicking them up and down rapidly
8,Seated Alternate Crunch,Strength,Core,"Abs, Obliques, Quadriceps",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/39441301-Seated-Alternate-Crunch_Waist_720.gif,False,Sit on the floor with knees bent. Lean back slightly and lift one knee toward your chest while twisting to touch the opposite elbow to it. Alternate sides in a controlled motion.
9,Sit Up With Arms On Chest,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/36791301-Sit-up-with-Arms-on-Chest_Waist_720.gif,False,Lie on your back with knees bent and arms crossed over chest. Engage abs to lift your upper body toward your knees
10,Crunchy Frog On Floor,Strength,Core,"Abs, Obliques, Quadriceps",,3/3,https://fitcron.com/wp-content/uploads/2024/05/35101301-Crunchy-Frog-on-Floor_Waist_720.gif,False,Sit with knees bent and feet off the ground. Pull knees toward chest while lifting shoulders
11,Seated In Out Leg Raise On Floor,Strength,Core,"Abs, Lower Back, Obliques, Quadriceps",,2/3,https://fitcron.com/wp-content/uploads/2024/05/35091301-Seated-In-Out-Leg-Raise-on-Floor_Waist_720.gif,False,Sit with hands behind you for support. Extend legs out in front
12,Lying Straight Leg Marches,Strength,Core,"Abs, Adductor, Glutes, Lower Back, Obliques, Quadriceps",,2/3,https://fitcron.com/wp-content/uploads/2024/05/34961301-Lying-Straight-Leg-Marches_Waist_720.gif,False,Lie on your back with legs extended. Lift one leg straight up while keeping the other slightly off the ground. Alternate legs in a marching motion
13,Elbow To Knee Sit Up,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/34841301-Elbow-to-Knee-Sit-up_Waist_720.gif,False,Lie on your back with knees bent. Perform a sit-up
14,Pulse Up,Strength,Core,"Abs, Obliques, Quadriceps",,2/3,https://fitcron.com/wp-content/uploads/2024/05/34591301-Pulse-Up_Waist_720.gif,False,Lie on your back with legs extended toward the ceiling. Lift hips off the ground by engaging abs
15,Roman Chair Sit Up,Strength,Core,"Abs, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2024/05/33291301-Roman-Chair-Sit-Up_Waist_720.gif,False,Secure feet in a Roman chair with hips off the edge. Cross arms over chest and perform a sit-up
16,Twisted Leg Raise,Strength,Core,"Abs, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2024/05/28021301-Twisted-Leg-Raise_Waist_720.gif,False,Lie on your back with legs extended. Lift legs toward the ceiling
17,Weighted Russian Twist,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/23711301-Weighted-Russian-Twist_Waist_720.gif,False,Sit with knees bent and feet off the ground
18,Spine Twist,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/23291301-Spine-Twist_Waist_720.gif,False,Sit with legs extended and hands behind head. Twist torso to one side
19,Lying Elbow To Knee,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/23121301-Lying-Elbow-to-Knee_Waist_720.gif,False,Lie on your back with hands behind head. Bring one elbow toward the opposite knee while extending the other leg. Alternate sides in a bicycle-like motion
20,Roll Reverse Crunch,Strength,Core,"Abs, Glutes, Lower Back, Obliques",Other,3/3,https://fitcron.com/wp-content/uploads/2024/05/22061301-Roll-Reverse-Crunch_Waist_720.gif,False,Lie on your back with knees bent. Roll knees toward chest
21,Extra Decline Sit Up,Strength,Core,"Abs, Obliques",Incline Bench,2/3,https://fitcron.com/wp-content/uploads/2024/05/18641301-Extra-Decline-Sit-up_Waist_720.gif,False,Lie on a decline bench with feet secured. Cross arms over chest and perform a sit-up
22,Side Bridge Hip Abduction,Strength,Core,"Abs, Glutes, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/17741301-Side-Bridge-Hip-Abduction_Hips_720.gif,True,Lie on your side
23,Bodyweight Side Lying Biceps Curl Upper Arms,Strength,Core,"Abs, Biceps, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/17691301-Bodyweight-Side-Lying-Biceps-Curl_Upper-Arms_720.gif,False,Lie on your side with the bottom arm bent. Perform a bicep curl with the top arm while engaging obliques to stabilize the body. Switch sides after completing reps.
24,Oblique Crunch Version 2,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/14951301-Oblique-Crunch-Version-2_Waist_720.gif,False,Lie on your back with knees bent and feet flat. Place one ankle over the opposite knee and crunch toward that knee
25,Wipers Straight Leg,Strength,Core,"Abs, Obliques",,3/3,https://fitcron.com/wp-content/uploads/2024/05/12491301-Wipers-straight-leg_Waist_720.gif,False,Lie on your back with legs extended toward the ceiling. Lower legs to one side in a controlled arc
26,Half Wipers Bent Leg,Strength,Core,"Abs, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/12481301-Half-Wipers-bent-leg_Waist_720.gif,False,Lie on your back with knees bent at 90 degrees. Lower knees to one side in a controlled motion
27,Hollow Hold,Strength,Core,"Abs, Obliques, Quadriceps",,3/3,https://fitcron.com/wp-content/uploads/2024/05/12461301-Hollow-Hold_Waist_720.gif,True,Lie on your back with arms and legs extended slightly off the ground. Lift shoulders and legs
28,Incline Twisting Sit Up Version 2,Strength,Core,"Abs, Obliques",Incline Bench,2/3,https://fitcron.com/wp-content/uploads/2024/05/11901301-Incline-Twisting-Sit-up-version-2_Waist_720.gif,False,Lie on an incline bench with feet secured. Perform a sit-up while twisting to bring one elbow toward the opposite knee. Alternate sides with each rep.
29,Lying Leg Raise,Strength,Core,"Abs, Lower Back, Obliques",,2/3,https://fitcron.com/wp-content/uploads/2024/05/11631301-Lying-Leg-Raise_Waist_720.gif,False,Lie on your back with legs extended. Lift legs straight up to a 90-degree angle
30,Lying Leg Hip Raise,Strength,Core,"Abs, Lower Back, Obliques",Flat Bench,3/3,https://fitcron.com/wp-content/uploads/2024/05/08651301-Lying-leg-hip-raise_Waist_720.gif,False,Lie on your back with legs extended. Lift legs and hips off the ground
